102.txt
BCNCoroleu29Rd1-62ba,5
BCNARicardos10Rd1-5f1f,3
BCNLlenguadoc17Rack,1
BCNLlenguadoc17p0-d94d,2
BCNLlenguadoc10-67fc,4
BCNSantaCatalina59Rd3-805c,3
QuesaSanRoque28Rd1-ed09,2
BCNTirso15-8e19,2
BCNpsgMdColl70B-c0a5,8
qMp-7853,2
BCNPsgMdColl55-e204,5
BCNTirso41-e571,4
BCNpgTurull--289e,5
QuesaSanRoque7Rd1-8755,2
BCNvkkRepartidor24bis-e1ad,2
BCNvkkPgTurull41Rd1-9227,4
103.txt
P9SFRambla58-7045,13
GSmVictoria-992f,2
GSmVictoria-RK8da9,2
BCNmasnou24Rd1-d594,4
GSgranVia255-db37,12
GSmVictoria-6a40,6
GSgV-ns-a1a5,10
BCNLluc2-7b18,1
BCNAlbertLlanas26Rd1-d915,3
vllcBCNCmbr10Rd1MESH-8e15,6
SBLL-Victoria113-df85,8
SBLL-Victoria3-1800,3
BCNLlibertat39-9b24,9
PRLL-DoctorRobert1-086d,2
PRLL-EnricMorera77-e004,2
PRLL-FredericSoler60-175e,2
PRLL-PompeuFabra28-18fe,9
PRLL-Urgell21-0876,2
SBLL-JacintVerdaguer201-db97,8
SBLL-PabloPicasso15-e088,3
BCNSegre55-b07c,3
BCNRamonBatlle57Rd1-0b2f,1
BCNPonsiGallarza24Rd1-0e1d,5
BCNPalencia43Rd3-52f4,6
BCNPalencia43Rd1-2c2e,3
BCNNouBarris23Rd2-450d,7
BCNLlenguadoc21Rd1-0b5e,5
BCNLlenguadoc17rooftop-3958,7
BCNSantuari125Rd2-0474,5
BCN_RENART_49Rd2-f242,2
P9SFEspronceda9-52bb,10
P9SFEspronceda132-518c,14
P9SFCastanys31-1663,5
P9SFBilbao102-7df9,21
P9SFDrTrueta206-4e3b,16
P9SFCiutatGranada73-68f5,7
qMp-HW-Ermita11,2
P9SFDrTrueta183Rd2-b713,25
SJD-Major46-07f3,6
SJD-GranCapita1-745e,11
SJD-Fontsanta48B-1833,10
SJD-FedericCasas9-74c3,6
SJD-FructuosGelabert1-d7b2,8
SJD-FredericCasas1F-0849,11
SJD-AvBarcelona23-1790,9
SJD-AVVElPi-1754,6
SJD-Domenech40-e2e7,10
SJD-AvGeneralitat20-924b,7
BCNSants186Rd1-993d,12
GS26gener10-8710,4
B2BJAVI73,0
CSmng26--3707,5
Aitor,3
qMp-9600,2
GSCallao3-d141,5
CRNLL-Travessera8-9132,10
PRLL-Caldetes5-0926,5
BCNNovell47-39be,3
CRNLL-DolorsAlmedaRoig92-def1,3
CRNLL-Florida40-078b,7
BCNPsgMdColl70-8e19,4
CRNLL-AvSalvadorAllende5-8ff0,8
CRNLL-JoanMaragall34-dd41,10
CRNLL-PassatgeDelicies2-91c8,6
CRNLL-IsaacPeral5-d953,5
CRNLL-JoanMaragall11-1ccd,7
SJD-SantFrancescDAsis20-df55,6
SJD-TorrentDEnNegre33-e173,8
SJD-RamblaJujol3-dd93,7
SJD-RamblaJujol54-18b1,9
SJD-Verdaguer42Sud-e1e8,0
SJD-qMp-Proves-239b,0
BCNServet131Rd1-f1a0,1
P9SFRocBoronat39-6f21,10
P9SFSantJoanMalta221-14f3,10
P9SFTaulat14-56f7,4
P9SFUPFRoofRd1-1a3e,16
P9SFPgCalvell35-5656,14
P9SFRambla68-163b,9
P9SFRambla82-6b29,7
P9SFUPFRoofRd2-4228,12
BCNLaCinetikaRd1-5847,5
BCNTorrasBages139Rd2-644e,2
BCNevaristoarnus5Rd9-c239,8
qMp_j2g2,2
BCNSants186Rd2-996c,8
BCNMelciorPalau62-6a4c,3
BCNValladolid22-d906,2
GSTriado51-68b9,4
BCNSantaCatalina59Rd2-f500,5
BCNSagunt62-1667,0
P9SFPerello50-1657,10
P9SFPallars164-f6ae,11
UPC-CN-C6-E104-Turoffner,1
BCNNapls292Rd1-984e,7
P9SFFernandoPoo33-5a11,7
P9SFLlacuna47-6913,16
P9SFLaTeixidora-697e,11
P9SFMariaAguilo108-fc54,8
P9SFLlatzaret25-AH-f7d1,11
P9SFMariaAguilo119Rd2-96be,4
P9SFMariaAguilo119-5638,6
BCNcrdnyl9Rd2-acae,4
GSBCNVPlj5Rd1MALLA-ce18,3
GSComteGuell52-61ec,1
GSgV-rb-dce0,7
GS-BCNpisuerga17Rd2,4
BCNRamblaRaval29Rd2-090c,8
BCNRamblaRaval29Rd1-da53,1
BCNRobador30Rd1-fdaf,8
BCNRamblaRaval29Rd3-72eb,1
GSMagalhaes19-fbdf,8
BCNSantPau80Rd1-7710,8
BCNRobrenyo44-4658,3
BCNVistaRicaGSF-4c65,3
BCNBruniquer36Rd1-4a57,7
HWBellchite-da28,1
HWCtraCollblanc157-0758,6
BCN-GS-JpTarradellas40-6a5f,4
BCNNogueraPallaresa15-ac8f,11
BCNTravDalt42gsf-edf4,8
BCNgsfMarti62Rd1-029a,2
BCNRabassa62Rd3-fe79,8
BCNVirgili2-5fbc,3
BCN-GS-CanBruixa20-RKM5-7bbd,10
BCN-GS-CanBruixa20-NSM5-e48b,11
UPC-CN-Omega-cf70,8
BCN-GS-Salou2bis-3a56,6
GS-CanVies-b840,6
GSAvMadrid5-nb-9a57,9
UPC-CN-C6-E206-Alix,0
VLDC-PgePocaFarina1-dd6e,0
BCNGranVia146Rd1-75a1,8
BCNevaristoarnus5Rd5-02b4,6
BCNJocsFlorals148-6a1b,11
BCNmasnou24Rd2-8416,8
BCNSocors2-389c,3
GS-BCNpisuerga17Rd1,6
UPC-CN-C6-E104-Alix,4
UPC-CN-C6-E208-9d04,2
UPC-CN-C6-E208-4964,2
BCNPasteur41Rd2-4188,1
qMpJ2G2p,4
P9SFJoncar3Roof-9614,0
UPC-CN-D6-116-4a5c,2
HWErmitaBellvitge16Rd1,2
BCNPlDelBonSucces7-47ef,4
BCNLaCera51Rd1-7265,6
BCNLaCera51Rd2-72e2,1
BCNCmtBrll43Rd1-87e5,1
BCNElsSalvador24Rd1-fa70,5
BCNPeuDeLaCreu8Rd1-090d,8
BCNPeuDeLaCreu8Rd2-7242,1
GSRajolers10-6e45,1
QuesaSanRoque24Rd1-c1de,2
GSConstitucio174-02ed,8
SCGGeneralitat91Rd1-6231,2
GSJBusquets24-50b4,4
P9SFAlmogavers237-56ac,0
BCNcrdnyl9Rd1-f705,2
BCNMoli92-4fbc,1
SBLL-JoanMarti37-dfa0,8
BCNevaristoarnus5Rd4-988e,8
BCN-GS-CanBruixaRd6-2803,8
GSAvMadrid5-ns-7369,5
GSConselldeCent12-a1ef,2
UPClab104-tun-c632,4
GS-RamblaBadal140-NS-11ce,7
UPC-CN-C6-Terrat-Rocket-bcee,12
UPC-ETSEIB-NS-7094,8
UPC-CN-C6-Terrat-Alix-e81c,10
UPC-EETAC-d9f3,3
SJD-Major22-e20f,6
UPC-CN-D6-105-Rd1,4
BCNRamonBatlle57AP-6677,0
BCNSantPau32-36ee,7
BCNJocsFloralsXXXRd1-6a8a,4
UPC-CN-C6-E104-TL-WR841N-8a29,0
BCNLluisBonifac2-e25f,2
BCNsprncd367-6ae5,8
HWCtraCollblanc157-Rd2-ee8a,7
BCNBailen228Rocket5-de35,8
HW-Prat11-LaFundicio-7d35,2
BCNPsgMdColl69-e141,3
P9SFLopedeVega128-3842,14
BCNSantBaltassar25-7fe6,6
BCN-Sagunt66-8971,11
P9SFPallars272-f7b8,11
GSgV-nb-207c,6
P9SFPallars88-7d16,10
UPC-CN-Vertex-Pangea-NS-1193,3
BCNfeliucasanova24Rd1-e2d5,4
BCNJocsFlorals109-fe4c,5
BCNLaFabraRd5-c9b0,8
BCNLaFabraRd2-8523,7
BCNLaFabraRd1,0
BCNLaBostikRd1-2bfb,2
BCNEspai30Rd1-57f0,2
BCNCoroleu29Rd1-62ba,5
BCNARicardos10Rd1-5f1f,3
BCNLlenguadoc17Rack,1
BCNLlenguadoc17p0-d94d,2
BCNLlenguadoc10-67fc,4
BCNSantaCatalina59Rd3-805c,3
QuesaSanRoque28Rd1-ed09,2
BCNTirso15-8e19,2
BCNpsgMdColl70B-c0a5,8
qMp-7853,2
BCNTirso41-e571,4
BCNpgTurull--289e,7
QuesaSanRoque7Rd1-8755,2
BCNvkkRepartidor24bis-e1ad,1
BCNvkkPgTurull41Rd1-9227,4
104.txt
P9SFRambla58-7045,14
GSmVictoria-992f,2
GSmVictoria-RK8da9,2
BCNmasnou24Rd1-d594,4
GSgranVia255-db37,12
GSmVictoria-6a40,2
GSgV-ns-a1a5,11
BCNLluc2-7b18,1
BCNAlbertLlanas26Rd1-d915,3
vllcBCNCmbr10Rd1MESH-8e15,7
SBLL-Victoria113-df85,8
SBLL-Victoria3-1800,3
BCNLlibertat39-9b24,10
PRLL-EnricMorera77-e004,2
PRLL-FredericSoler60-175e,2
SBLL-JacintVerdaguer201-db97,8
SBLL-PabloPicasso15-e088,3
BCNSegre55-b07c,3
BCNRamonBatlle57Rd1-0b2f,1
BCNPonsiGallarza24Rd1-0e1d,5
BCNPalencia43Rd3-52f4,6
BCNPalencia43Rd1-2c2e,3
BCNNouBarris23Rd2-450d,6
BCNLlenguadoc21Rd1-0b5e,5
BCNLlenguadoc17rooftop-3958,7
BCNSantuari125Rd2-0474,5
BCN_RENART_49Rd2-f242,2
P9SFEspronceda9-52bb,7
P9SFEspronceda132-518c,15
P9SFCastanys31-1663,5
P9SFBilbao102-7df9,21
P9SFDrTrueta206-4e3b,15
P9SFCiutatGranada73-68f5,6
qMp-HW-Ermita11,2
P9SFDrTrueta183Rd2-b713,24
SJD-Major46-07f3,7
SJD-GranCapita1-745e,11
SJD-Fontsanta48B-1833,12
SJD-FedericCasas9-74c3,6
SJD-FructuosGelabert1-d7b2,7
SJD-FredericCasas1F-0849,14
SJD-AvBarcelona23-1790,11
SJD-AVVElPi-1754,6
SJD-Domenech40-e2e7,10
SJD-AvGeneralitat20-924b,7
BCNSants186Rd1-993d,12
GS26gener10-8710,4
B2BJAVI73,0
CSmng26--3707,5
Aitor,3
qMp-9600,2
GSCallao3-d141,5
CRNLL-Travessera8-9132,10
PRLL-Caldetes5-0926,4
BCNNovell47-39be,3
CRNLL-DolorsAlmedaRoig92-def1,3
CRNLL-Florida40-078b,7
BCNPsgMdColl70-8e19,4
CRNLL-AvSalvadorAllende5-8ff0,7
CRNLL-JoanMaragall34-dd41,10
CRNLL-PassatgeDelicies2-91c8,5
CRNLL-IsaacPeral5-d953,5
CRNLL-JoanMaragall11-1ccd,7
SJD-SantFrancescDAsis20-df55,5
SJD-TorrentDEnNegre33-e173,9
SJD-RamblaJujol3-dd93,7
SJD-RamblaJujol54-18b1,9
SJD-Verdaguer42Sud-e1e8,13
SJD-qMp-Proves-239b,7
BCNServet131Rd1-f1a0,1
P9SFRocBoronat39-6f21,10
P9SFSantJoanMalta221-14f3,10
P9SFTaulat14-56f7,4
P9SFUPFRoofRd1-1a3e,16
P9SFPgCalvell35-5656,14
P9SFRambla68-163b,9
P9SFRambla82-6b29,7
P9SFUPFRoofRd2-4228,12
BCNLaCinetikaRd1-5847,5
BCNTorrasBages139Rd2-644e,2
BCNevaristoarnus5Rd9-c239,7
qMp_j2g2,2
BCNSants186Rd2-996c,8
BCNMelciorPalau62-6a4c,3
BCNValladolid22-d906,2
GSTriado51-68b9,4
BCNSantaCatalina59Rd2-f500,5
BCNSagunt62-1667,5
P9SFPerello50-1657,10
P9SFPallars164-f6ae,10
UPC-CN-C6-E104-Turoffner,1
BCNNapls292Rd1-984e,7
P9SFFernandoPoo33-5a11,7
P9SFLlacuna47-6913,17
P9SFLaTeixidora-697e,11
P9SFMariaAguilo108-fc54,8
P9SFLlatzaret25-AH-f7d1,11
P9SFMariaAguilo119Rd2-96be,4
P9SFMariaAguilo119-5638,6
BCNcrdnyl9Rd2-acae,4
GSBCNVPlj5Rd1MALLA-ce18,3
GSComteGuell52-61ec,1
GSgV-rb-dce0,7
GS-BCNpisuerga17Rd2,4
BCNRamblaRaval29Rd2-090c,8
BCNRamblaRaval29Rd1-da53,0
BCNRobador30Rd1-fdaf,8
BCNRamblaRaval29Rd3-72eb,0
GSMagalhaes19-fbdf,7
BCNSantPau80Rd1-7710,8
BCNRobrenyo44-4658,3
BCNVistaRicaGSF-4c65,5
BCNBruniquer36Rd1-4a57,7
HWBellchite-da28,1
HWCtraCollblanc157-0758,6
BCN-GS-JpTarradellas40-6a5f,4
BCNNogueraPallaresa15-ac8f,11
BCNTravDalt42gsf-edf4,6
BCNgsfMarti62Rd1-029a,2
BCNRabassa62Rd3-fe79,8
BCNVirgili2-5fbc,2
BCN-GS-CanBruixa20-RKM5-7bbd,10
BCN-GS-CanBruixa20-NSM5-e48b,11
UPC-CN-Omega-cf70,9
BCN-GS-Salou2bis-3a56,6
GS-CanVies-b840,6
GSAvMadrid5-nb-9a57,9
UPC-CN-C6-E206-Alix,0
VLDC-PgePocaFarina1-dd6e,0
BCNGranVia146Rd1-75a1,8
BCNevaristoarnus5Rd5-02b4,6
BCNJocsFlorals148-6a1b,11
BCNmasnou24Rd2-8416,7
BCNSocors2-389c,3
GS-BCNpisuerga17Rd1,6
UPC-CN-C6-E104-Alix,4
UPC-CN-C6-E208-9d04,2
UPC-CN-C6-E208-4964,2
BCNPasteur41Rd2-4188,1
qMpJ2G2p,4
P9SFJoncar3Roof-9614,0
UPC-CN-D6-116-4a5c,2
HWErmitaBellvitge16Rd1,2
BCNPlDelBonSucces7-47ef,5
BCNLaCera51Rd1-7265,7
BCNLaCera51Rd2-72e2,1
BCNCmtBrll43Rd1-87e5,1
BCNElsSalvador24Rd1-fa70,5
BCNPeuDeLaCreu8Rd1-090d,8
BCNPeuDeLaCreu8Rd2-7242,1
GSRajolers10-6e45,1
QuesaSanRoque24Rd1-c1de,2
GSConstitucio174-02ed,8
SCGGeneralitat91Rd1-6231,2
GSJBusquets24-50b4,4
P9SFAlmogavers237-56ac,0
BCNcrdnyl9Rd1-f705,2
BCNMoli92-4fbc,1
SBLL-JoanMarti37-dfa0,8
BCNevaristoarnus5Rd4-988e,8
BCN-GS-CanBruixaRd6-2803,8
GSAvMadrid5-ns-7369,5
GSConselldeCent12-a1ef,2
UPClab104-tun-c632,4
GS-RamblaBadal140-NS-11ce,7
UPC-CN-C6-Terrat-Rocket-bcee,12
UPC-ETSEIB-NS-7094,8
UPC-CN-C6-Terrat-Alix-e81c,10
UPC-EETAC-d9f3,3
SJD-Major22-e20f,7
UPC-CN-D6-105-Rd1,4
BCNRamonBatlle57AP-6677,0
BCNSantPau32-36ee,7
BCNJocsFloralsXXXRd1-6a8a,4
UPC-CN-C6-E104-TL-WR841N-8a29,0
BCNLluisBonifac2-e25f,2
BCNsprncd367-6ae5,9
HWCtraCollblanc157-Rd2-ee8a,7
BCNBailen228Rocket5-de35,8
HW-Prat11-LaFundicio-7d35,2
BCNPsgMdColl69-e141,3
P9SFLopedeVega128-3842,14
BCNSantBaltassar25-7fe6,7
BCN-Sagunt66-8971,8
P9SFPallars272-f7b8,11
GSgV-nb-207c,6
P9SFPallars88-7d16,11
UPC-CN-Vertex-Pangea-NS-1193,3
BCNfeliucasanova24Rd1-e2d5,5
BCNJocsFlorals109-fe4c,5
BCNLaFabraRd5-c9b0,7
BCNLaFabraRd2-8523,7
BCNLaFabraRd1,0
BCNLaBostikRd1-2bfb,2
BCNEspai30Rd1-57f0,2
BCNCoroleu29Rd1-62ba,5
BCNARicardos10Rd1-5f1f,3
BCNLlenguadoc17Rack,1
BCNLlenguadoc17p0-d94d,2
BCNLlenguadoc10-67fc,5
BCNSantaCatalina59Rd3-805c,4
QuesaSanRoque28Rd1-ed09,2
BCNTirso15-8e19,2
BCNpsgMdColl70B-c0a5,8
qMp-7853,2
BCNTirso41-e571,4
BCNpgTurull--289e,6
QuesaSanRoque7Rd1-8755,2
BCNvkkRepartidor24bis-e1ad,2
BCNvkkPgTurull41Rd1-9227,4
105.txt
P9SFRambla58-7045,14
GSmVictoria-992f,2
GSmVictoria-RK8da9,2
BCNmasnou24Rd1-d594,3
GSgranVia255-db37,12
GSmVictoria-6a40,6
GSgV-ns-a1a5,10
BCNLluc2-7b18,1
BCNAlbertLlanas26Rd1-d915,3
vllcBCNCmbr10Rd1MESH-8e15,6
SBLL-Victoria113-df85,7
SBLL-Victoria3-1800,3
BCNLlibertat39-9b24,7
PRLL-DoctorRobert1-086d,0
PRLL-EnricMorera77-e004,2
PRLL-FredericSoler60-175e,2
PRLL-PompeuFabra28-18fe,0
PRLL-Urgell21-0876,0
SBLL-JacintVerdaguer201-db97,8
SBLL-PabloPicasso15-e088,3
BCNSegre55-b07c,3
BCNRamonBatlle57Rd1-0b2f,1
BCNPonsiGallarza24Rd1-0e1d,5
BCNPalencia43Rd3-52f4,6
BCNPalencia43Rd1-2c2e,3
BCNNouBarris23Rd2-450d,6
BCNLlenguadoc21Rd1-0b5e,5
BCNLlenguadoc17rooftop-3958,7
BCNSantuari125Rd2-0474,5
BCN_RENART_49Rd2-f242,2
P9SFEspronceda9-52bb,9
P9SFEspronceda132-518c,15
P9SFCastanys31-1663,5
P9SFBilbao102-7df9,21
P9SFDrTrueta206-4e3b,15
P9SFCiutatGranada73-68f5,7
qMp-HW-Ermita11,2
P9SFDrTrueta183Rd2-b713,25
SJD-Major46-07f3,7
SJD-GranCapita1-745e,11
SJD-Fontsanta48B-1833,12
SJD-FedericCasas9-74c3,6
SJD-FructuosGelabert1-d7b2,7
SJD-FredericCasas1F-0849,13
SJD-AvBarcelona23-1790,10
SJD-AVVElPi-1754,6
SJD-Domenech40-e2e7,10
SJD-AvGeneralitat20-924b,7
BCNSants186Rd1-993d,12
GS26gener10-8710,4
B2BJAVI73,0
CSmng26--3707,5
Aitor,3
qMp-9600,2
GSCallao3-d141,5
CRNLL-Travessera8-9132,11
PRLL-Caldetes5-0926,4
BCNNovell47-39be,3
CRNLL-DolorsAlmedaRoig92-def1,3
CRNLL-Florida40-078b,7
BCNPsgMdColl70-8e19,4
CRNLL-AvSalvadorAllende5-8ff0,7
CRNLL-JoanMaragall34-dd41,10
CRNLL-PassatgeDelicies2-91c8,5
CRNLL-IsaacPeral5-d953,5
CRNLL-JoanMaragall11-1ccd,7
SJD-SantFrancescDAsis20-df55,5
SJD-TorrentDEnNegre33-e173,9
SJD-RamblaJujol3-dd93,7
SJD-RamblaJujol54-18b1,9
SJD-Verdaguer42Sud-e1e8,13
SJD-qMp-Proves-239b,7
BCNServet131Rd1-f1a0,1
P9SFRocBoronat39-6f21,9
P9SFSantJoanMalta221-14f3,11
P9SFTaulat14-56f7,4
P9SFUPFRoofRd1-1a3e,16
P9SFPgCalvell35-5656,14
P9SFRambla68-163b,9
P9SFRambla82-6b29,7
P9SFUPFRoofRd2-4228,12
BCNLaCinetikaRd1-5847,5
BCNTorrasBages139Rd2-644e,2
BCNevaristoarnus5Rd9-c239,7
qMp_j2g2,2
BCNSants186Rd2-996c,8
BCNMelciorPalau62-6a4c,3
BCNValladolid22-d906,2
GSTriado51-68b9,4
BCNSantaCatalina59Rd2-f500,5
BCNSagunt62-1667,5
P9SFPerello50-1657,10
P9SFPallars164-f6ae,11
UPC-CN-C6-E104-Turoffner,1
BCNNapls292Rd1-984e,7
P9SFFernandoPoo33-5a11,7
P9SFLlacuna47-6913,18
P9SFLaTeixidora-697e,11
P9SFMariaAguilo108-fc54,8
P9SFLlatzaret25-AH-f7d1,10
P9SFMariaAguilo119Rd2-96be,4
P9SFMariaAguilo119-5638,6
BCNcrdnyl9Rd2-acae,7
GSBCNVPlj5Rd1MALLA-ce18,3
GSComteGuell52-61ec,1
GSgV-rb-dce0,7
GS-BCNpisuerga17Rd2,4
BCNRamblaRaval29Rd2-090c,10
BCNRamblaRaval29Rd1-da53,2
BCNRobador30Rd1-fdaf,8
BCNRamblaRaval29Rd3-72eb,2
GSMagalhaes19-fbdf,7
BCNSantPau80Rd1-7710,8
BCNRobrenyo44-4658,1
BCNVistaRicaGSF-4c65,5
BCNBruniquer36Rd1-4a57,7
HWBellchite-da28,1
HWCtraCollblanc157-0758,6
BCN-GS-JpTarradellas40-6a5f,4
BCNNogueraPallaresa15-ac8f,11
BCNTravDalt42gsf-edf4,6
BCNgsfMarti62Rd1-029a,2
BCNRabassa62Rd3-fe79,8
BCNVirgili2-5fbc,3
BCN-GS-CanBruixa20-RKM5-7bbd,11
BCN-GS-CanBruixa20-NSM5-e48b,11
UPC-CN-Omega-cf70,8
BCN-GS-Salou2bis-3a56,6
GS-CanVies-b840,6
GSAvMadrid5-nb-9a57,9
UPC-CN-C6-E206-Alix,0
