Source;Target;Type;Weight
36360816693;59;Directed;-83
36360816693;58;Directed;-87
36360816693;5168;Directed;-88
36360816693;54;Directed;-82
36360816693;57;Directed;-78
36360816693;56;Directed;-87
36360816693;50;Directed;-67
36360816693;524;Directed;-84
36360816693;518;Directed;-87
36360816693;520;Directed;-81
36360816693;522;Directed;-85
36360816693;523;Directed;-86
36360816693;513;Directed;-74
36360816693;512;Directed;-78
130;178;Directed;None
130;1214;Directed;None
130;1134;Directed;None
136;1211;Directed;None
136;198;Directed;-67
136;1214;Directed;-68
136;1133;Directed;-78
136;192;Directed;-68
136;182;Directed;-77
136;132;Directed;None
136;180;Directed;-69
136;181;Directed;-77
136;1221;Directed;None
136;1117;Directed;-78
136;1108;Directed;None
90;9;Directed;-79
90;92;Directed;None
90;95;Directed;-76
90;104459421554;Directed;-79
139;151;Directed;-86
139;1214;Directed;-90
139;140;Directed;None
139;1133;Directed;-82
139;192;Directed;-90
139;182;Directed;-82
139;132;Directed;None
139;180;Directed;-83
139;136;Directed;-86
139;1117;Directed;-90
139;1221;Directed;None
92;90;Directed;None
95;90;Directed;-79
95;93;Directed;-69
95;104459421554;Directed;-82
3;3201;Directed;None
3;3200;Directed;None
3;3;Directed;-57
3;3195;Directed;-71
3;3190;Directed;-72
3;3199;Directed;-88
3;3198;Directed;0
818;832;Directed;-84
818;830;Directed;-88
818;86;Directed;-87
818;819;Directed;-73
818;88;Directed;-88
818;825;Directed;-73
818;225877267718;Directed;-85
818;817;Directed;-59
819;818;Directed;-74
819;225877267718;Directed;-49
819;817;Directed;-63
104459421554;2206;Directed;-80
104459421554;2207;Directed;None
104459421554;2209;Directed;-68
104459421554;9;Directed;-66
104459421554;2197;Directed;-80
104459421554;2165;Directed;-83
104459421554;2199;Directed;-81
104459421554;95;Directed;-78
104459421554;90;Directed;-77
810;813;Directed;None
810;814;Directed;None
811;812;Directed;None
811;89;Directed;None
812;811;Directed;None
812;89;Directed;None
813;832;Directed;None
813;89;Directed;None
813;810;Directed;None
813;827;Directed;None
813;81;Directed;None
813;814;Directed;None
813;87;Directed;None
813;823;Directed;None
814;810;Directed;None
814;813;Directed;None
814;81;Directed;None
815;830;Directed;-84
815;834;Directed;None
815;88;Directed;-78
815;825;Directed;-79
815;86;Directed;-87
815;823;Directed;None
815;822;Directed;None
817;818;Directed;-56
817;819;Directed;-60
817;225877267718;Directed;-54
719;77;Directed;-67
719;716;Directed;-87
719;713;Directed;-72
717;76;Directed;-76
716;77;Directed;-67
716;79831339542;Directed;-83
716;713;Directed;-76
716;719;Directed;-87
716;720;Directed;-80
715;714;Directed;None
715;74;Directed;None
715;73;Directed;-61
715;71;Directed;-56
715;721;Directed;-57
715;722;Directed;-85
714;715;Directed;None
714;74;Directed;None
714;70;Directed;None
713;719;Directed;-69
713;716;Directed;-72
713;77;Directed;-56
713;724;Directed;-80
713;725;Directed;-69
713;79831339542;Directed;-82
712;76;Directed;-61
712;78;Directed;-49
712;723;Directed;-46
712;711;Directed;-59
712;72;Directed;-77
711;712;Directed;-62
711;76;Directed;-44
711;72;Directed;-82
711;70;Directed;None
711;78;Directed;-36
711;79;Directed;None
711;723;Directed;-54
79831339542;716;Directed;-86
79831339542;713;Directed;-85
59;58;Directed;-82
59;5168;Directed;-75
59;50;Directed;-76
59;527;Directed;None
59;520;Directed;-81
59;515;Directed;None
58;5160;Directed;-66
58;59;Directed;-81
58;5168;Directed;-82
58;54;Directed;-76
58;50;Directed;-66
58;525;Directed;-83
58;527;Directed;None
58;520;Directed;-69
58;522;Directed;-87
58;523;Directed;-72
58;5164;Directed;-59
58;513;Directed;-84
58;512;Directed;-75
58;528;Directed;None
58;514;Directed;-83
55;520;Directed;-77
55;516;Directed;-85
55;515;Directed;None
55;50;Directed;-100
55;59;Directed;-100
54;5160;Directed;-76
54;519;Directed;-77
54;512;Directed;-65
54;5164;Directed;-83
54;58;Directed;-72
54;5168;Directed;-86
54;57;Directed;-85
54;510;Directed;-87
54;50;Directed;-62
54;514;Directed;-64
54;524;Directed;-81
54;525;Directed;-76
54;527;Directed;None
54;520;Directed;-60
54;522;Directed;-76
54;523;Directed;-51
54;59;Directed;-82
54;513;Directed;-72
54;5;Directed;-83
54;528;Directed;None
54;36360816693;Directed;-86
57;519;Directed;-78
57;59;Directed;-84
57;5168;Directed;-68
57;54;Directed;-84
57;36360816693;Directed;-82
57;56;Directed;-78
57;50;Directed;-46
57;524;Directed;-76
57;518;Directed;-64
57;526;Directed;-76
57;527;Directed;None
57;520;Directed;-72
57;513;Directed;-70
57;528;Directed;None
56;57;Directed;-88
56;50;Directed;-75
56;524;Directed;-56
56;527;Directed;None
56;513;Directed;-88
56;528;Directed;None
242288697347;104277312536;Directed;-64
242288697347;228506738965;Directed;-66
50;36360816693;Directed;-70
50;524;Directed;-71
50;525;Directed;-78
50;526;Directed;-82
50;527;Directed;None
50;520;Directed;-76
50;522;Directed;-75
50;523;Directed;-81
50;5;Directed;-75
50;528;Directed;None
50;5160;Directed;-74
50;5164;Directed;-85
50;5168;Directed;-77
50;59;Directed;-67
50;58;Directed;-56
50;55;Directed;-83
50;54;Directed;-59
50;57;Directed;-44
50;56;Directed;-64
50;519;Directed;-71
50;518;Directed;-76
50;510;Directed;-73
50;513;Directed;-54
50;512;Directed;-71
50;515;Directed;None
50;514;Directed;-79
53;524;Directed;-84
53;518;Directed;-77
53;527;Directed;None
53;523;Directed;-88
829;834;Directed;None
829;835;Directed;None
829;80;Directed;None
829;826;Directed;None
829;821;Directed;None
829;823;Directed;None
828;833;Directed;None
828;831;Directed;None
828;834;Directed;None
828;815;Directed;None
828;825;Directed;None
828;824;Directed;None
828;827;Directed;None
828;826;Directed;None
828;820;Directed;None
828;84;Directed;None
828;822;Directed;None
825;830;Directed;-85
825;831;Directed;None
825;827;Directed;None
825;835;Directed;None
825;820;Directed;None
825;818;Directed;-72
825;828;Directed;None
825;80;Directed;None
825;826;Directed;-70
825;225877267718;Directed;-73
825;815;Directed;-84
824;831;Directed;None
824;834;Directed;None
824;828;Directed;None
824;826;Directed;None
824;821;Directed;None
824;823;Directed;None
827;818;Directed;None
827;89;Directed;None
827;828;Directed;None
827;825;Directed;None
827;83;Directed;None
827;813;Directed;None
827;820;Directed;None
827;84;Directed;None
826;833;Directed;None
826;830;Directed;-90
826;831;Directed;None
826;834;Directed;None
826;835;Directed;None
826;829;Directed;None
826;828;Directed;None
826;825;Directed;-70
826;824;Directed;None
826;80;Directed;None
826;821;Directed;None
826;820;Directed;None
826;823;Directed;None
826;822;Directed;None
821;833;Directed;None
821;831;Directed;None
821;834;Directed;None
821;835;Directed;None
821;829;Directed;None
821;824;Directed;None
821;80;Directed;None
821;826;Directed;None
821;823;Directed;None
821;822;Directed;None
820;834;Directed;None
820;828;Directed;None
820;825;Directed;None
820;827;Directed;None
820;826;Directed;None
820;823;Directed;None
823;833;Directed;None
823;830;Directed;None
823;831;Directed;None
823;834;Directed;None
823;835;Directed;None
823;815;Directed;None
823;813;Directed;None
823;829;Directed;None
823;824;Directed;None
823;80;Directed;None
823;826;Directed;None
823;821;Directed;None
823;820;Directed;None
822;831;Directed;None
822;828;Directed;None
