Source;Target;Type;Weight
36360816693;5160;Directed;0
36360816693;59;Directed;-85
36360816693;58;Directed;-87
36360816693;5168;Directed;-88
36360816693;54;Directed;-82
36360816693;57;Directed;-78
36360816693;50;Directed;-67
36360816693;524;Directed;-81
36360816693;518;Directed;-88
36360816693;520;Directed;-80
36360816693;522;Directed;-87
36360816693;523;Directed;-87
36360816693;513;Directed;-75
36360816693;512;Directed;-79
133;132;Directed;None
133;134;Directed;None
132;133;Directed;None
132;134;Directed;None
130;178;Directed;None
130;179;Directed;None
130;1214;Directed;None
130;1134;Directed;None
136;1211;Directed;None
136;198;Directed;-65
136;1214;Directed;-66
136;1133;Directed;-81
136;192;Directed;-68
136;182;Directed;-78
136;132;Directed;None
136;180;Directed;-69
136;181;Directed;-80
136;1221;Directed;None
136;1117;Directed;-76
136;1108;Directed;None
134;133;Directed;None
134;132;Directed;None
139;151;Directed;-88
139;1214;Directed;-90
139;140;Directed;None
139;1133;Directed;-84
139;192;Directed;-87
139;182;Directed;-87
139;132;Directed;None
139;180;Directed;-83
139;136;Directed;-83
139;1117;Directed;-88
139;1221;Directed;None
92;90;Directed;None
95;90;Directed;-77
95;93;Directed;-72
95;104459421554;Directed;-83
3;3201;Directed;None
3;3200;Directed;None
3;3;Directed;-57
3;3195;Directed;-72
3;3190;Directed;-72
3;3199;Directed;-87
3;3198;Directed;0
818;832;Directed;-85
818;830;Directed;-86
818;86;Directed;-86
818;819;Directed;-71
818;88;Directed;-89
818;825;Directed;-74
818;225877267718;Directed;-84
818;817;Directed;-58
819;818;Directed;-75
819;225877267718;Directed;-48
819;817;Directed;-62
104459421554;2206;Directed;-81
104459421554;2207;Directed;None
104459421554;2209;Directed;-64
104459421554;9;Directed;-68
104459421554;2197;Directed;-79
104459421554;2165;Directed;-81
104459421554;90;Directed;-78
104459421554;93;Directed;0
104459421554;95;Directed;0
104459421554;2199;Directed;-81
811;812;Directed;None
811;89;Directed;None
812;811;Directed;None
812;89;Directed;None
815;830;Directed;-83
815;834;Directed;None
815;88;Directed;-80
815;825;Directed;-83
815;81;Directed;-87
815;86;Directed;-87
815;823;Directed;None
815;822;Directed;None
817;818;Directed;-54
817;819;Directed;-59
817;225877267718;Directed;-53
719;77;Directed;-68
719;716;Directed;-89
719;713;Directed;-72
717;76;Directed;-73
716;77;Directed;-65
716;79831339542;Directed;-86
716;713;Directed;-77
716;719;Directed;-86
716;720;Directed;-80
715;714;Directed;None
715;74;Directed;None
715;73;Directed;-62
715;71;Directed;-56
715;721;Directed;-57
715;722;Directed;-85
714;715;Directed;None
714;74;Directed;None
714;70;Directed;None
713;719;Directed;-68
713;716;Directed;-75
713;77;Directed;-60
713;724;Directed;-75
713;725;Directed;-71
713;79831339542;Directed;-83
712;76;Directed;-61
712;78;Directed;-51
712;723;Directed;-47
712;711;Directed;-54
712;72;Directed;-79
711;712;Directed;-67
711;76;Directed;-52
711;72;Directed;-82
711;70;Directed;None
711;78;Directed;-37
711;79;Directed;None
711;723;Directed;-55
90;9;Directed;-79
90;93;Directed;-80
90;92;Directed;None
90;95;Directed;-76
90;104459421554;Directed;-75
79831339542;716;Directed;-87
79831339542;713;Directed;-87
59;58;Directed;-81
59;5168;Directed;-76
59;54;Directed;-85
59;50;Directed;-77
59;527;Directed;None
59;520;Directed;-83
59;515;Directed;None
58;5160;Directed;-66
58;59;Directed;-81
58;5168;Directed;-82
58;54;Directed;-75
58;50;Directed;-64
58;525;Directed;-84
58;527;Directed;None
58;520;Directed;-70
58;522;Directed;-86
58;523;Directed;-71
58;5164;Directed;-58
58;513;Directed;-84
58;512;Directed;-75
58;528;Directed;None
58;514;Directed;-83
55;520;Directed;-77
55;516;Directed;-87
55;515;Directed;None
55;50;Directed;-103
55;59;Directed;-100
54;5160;Directed;-73
54;519;Directed;-81
54;512;Directed;-68
54;5164;Directed;-84
54;58;Directed;-74
54;5168;Directed;-86
54;57;Directed;-89
54;510;Directed;-87
54;50;Directed;-66
54;514;Directed;-64
54;524;Directed;-83
54;525;Directed;-78
54;527;Directed;None
54;520;Directed;-65
54;522;Directed;-77
54;523;Directed;-61
54;59;Directed;-82
54;513;Directed;-74
54;5;Directed;-86
54;528;Directed;None
54;36360816693;Directed;-89
57;519;Directed;-80
57;59;Directed;-86
57;5168;Directed;-67
57;54;Directed;-84
57;36360816693;Directed;-83
57;56;Directed;-79
57;50;Directed;-48
57;524;Directed;-77
57;518;Directed;-66
57;526;Directed;-76
57;527;Directed;None
57;5;Directed;-87
57;520;Directed;-75
57;513;Directed;-72
57;528;Directed;None
56;57;Directed;-86
56;50;Directed;-74
56;524;Directed;-55
56;527;Directed;None
56;513;Directed;-88
56;528;Directed;None
242288697347;104277312536;Directed;-63
242288697347;228506738965;Directed;-63
50;36360816693;Directed;-67
50;524;Directed;-71
50;525;Directed;-74
50;526;Directed;-80
50;527;Directed;None
50;520;Directed;-71
50;522;Directed;-77
50;523;Directed;-81
50;5;Directed;-75
50;528;Directed;None
50;5160;Directed;-69
50;5168;Directed;-78
50;59;Directed;-67
50;58;Directed;-57
50;54;Directed;-65
50;57;Directed;-43
50;56;Directed;-64
50;519;Directed;-73
50;518;Directed;-78
50;510;Directed;-73
50;513;Directed;-54
50;512;Directed;-71
50;515;Directed;None
50;514;Directed;-79
829;830;Directed;-89
829;834;Directed;None
829;835;Directed;None
829;80;Directed;None
829;826;Directed;-90
829;821;Directed;None
829;823;Directed;None
828;833;Directed;None
828;831;Directed;None
828;834;Directed;None
828;815;Directed;None
828;825;Directed;None
828;824;Directed;None
828;827;Directed;None
828;826;Directed;None
828;820;Directed;None
828;84;Directed;None
828;822;Directed;None
825;830;Directed;-86
825;831;Directed;None
825;80;Directed;None
825;835;Directed;None
825;821;Directed;None
825;815;Directed;-85
