Source;Target;Type;Weight
36360816693;59;Directed;-81
36360816693;58;Directed;-87
36360816693;5168;Directed;-89
36360816693;54;Directed;-83
36360816693;57;Directed;-77
36360816693;56;Directed;0
36360816693;50;Directed;-69
36360816693;524;Directed;-83
36360816693;518;Directed;-87
36360816693;520;Directed;-82
36360816693;522;Directed;-90
36360816693;523;Directed;-87
36360816693;513;Directed;-76
36360816693;512;Directed;-80
132;139;Directed;None
132;136;Directed;None
132;1214;Directed;None
132;1117;Directed;None
130;178;Directed;None
130;179;Directed;None
130;1214;Directed;None
130;1134;Directed;None
136;1211;Directed;None
136;198;Directed;-67
136;1214;Directed;-67
136;1133;Directed;-77
136;192;Directed;-70
136;182;Directed;-76
136;132;Directed;None
136;180;Directed;-69
136;181;Directed;-78
136;1221;Directed;None
136;1117;Directed;-77
136;1108;Directed;None
90;9;Directed;-76
90;93;Directed;-77
90;92;Directed;None
90;95;Directed;-76
90;104459421554;Directed;-79
139;151;Directed;-89
139;1214;Directed;-90
139;140;Directed;None
139;1133;Directed;-82
139;182;Directed;-84
139;132;Directed;None
139;180;Directed;-82
139;1221;Directed;None
92;90;Directed;None
95;90;Directed;-75
95;93;Directed;-71
95;104459421554;Directed;-82
3;3201;Directed;None
3;3200;Directed;None
3;3;Directed;-56
3;3195;Directed;-72
3;3190;Directed;-73
3;3199;Directed;-87
818;832;Directed;-85
818;830;Directed;-88
818;86;Directed;-89
818;819;Directed;-72
818;825;Directed;-73
818;225877267718;Directed;-84
818;817;Directed;-58
819;818;Directed;-73
819;225877267718;Directed;-49
819;817;Directed;-62
104459421554;2206;Directed;-80
104459421554;2207;Directed;None
104459421554;2209;Directed;-65
104459421554;9;Directed;-65
104459421554;2197;Directed;-80
104459421554;2165;Directed;-82
104459421554;2199;Directed;-80
104459421554;95;Directed;-86
104459421554;90;Directed;-77
810;813;Directed;None
810;814;Directed;None
811;812;Directed;None
811;89;Directed;None
812;811;Directed;None
812;89;Directed;None
813;832;Directed;None
813;810;Directed;None
813;89;Directed;None
813;825;Directed;None
813;811;Directed;None
813;827;Directed;None
813;81;Directed;None
813;814;Directed;None
813;87;Directed;None
813;823;Directed;None
814;810;Directed;None
814;813;Directed;None
815;830;Directed;-84
815;834;Directed;None
815;88;Directed;-79
815;825;Directed;-82
815;81;Directed;-89
815;86;Directed;-86
815;823;Directed;None
815;822;Directed;None
817;818;Directed;-54
817;819;Directed;-61
817;225877267718;Directed;-52
719;77;Directed;-68
719;716;Directed;-87
719;713;Directed;-73
717;76;Directed;-76
716;77;Directed;-65
716;79831339542;Directed;-84
716;713;Directed;-71
716;719;Directed;-86
716;720;Directed;-81
715;714;Directed;None
715;74;Directed;None
715;73;Directed;-61
715;71;Directed;-62
715;721;Directed;-58
715;722;Directed;-85
714;715;Directed;None
714;74;Directed;None
714;70;Directed;None
713;77;Directed;-55
713;716;Directed;-69
713;724;Directed;-76
713;719;Directed;-68
713;79831339542;Directed;-81
712;76;Directed;-64
712;78;Directed;-49
712;723;Directed;-48
712;711;Directed;-53
712;72;Directed;-77
711;712;Directed;-65
711;76;Directed;-53
711;72;Directed;-81
711;70;Directed;None
711;78;Directed;-37
711;79;Directed;None
711;723;Directed;-54
79831339542;716;Directed;-86
79831339542;713;Directed;-86
59;58;Directed;-81
59;5168;Directed;-77
59;50;Directed;-77
59;527;Directed;None
59;520;Directed;-82
59;515;Directed;None
58;5160;Directed;-65
58;59;Directed;-81
58;5168;Directed;-82
58;54;Directed;-74
58;50;Directed;-68
58;525;Directed;-83
58;527;Directed;None
58;520;Directed;-72
58;523;Directed;-72
58;5164;Directed;-59
58;513;Directed;-84
58;512;Directed;-77
58;528;Directed;None
58;514;Directed;-82
55;520;Directed;-77
55;516;Directed;-86
55;515;Directed;None
55;50;Directed;-101
55;59;Directed;-100
54;5160;Directed;-74
54;519;Directed;-79
54;512;Directed;-66
54;5164;Directed;-83
54;58;Directed;-74
54;5168;Directed;-88
54;57;Directed;-87
54;510;Directed;-86
54;50;Directed;-63
54;514;Directed;-64
54;524;Directed;-80
54;525;Directed;-78
54;527;Directed;None
54;520;Directed;-66
54;522;Directed;-78
54;523;Directed;-59
54;59;Directed;-83
54;513;Directed;-74
54;5;Directed;-86
54;528;Directed;None
54;36360816693;Directed;-88
57;519;Directed;-78
57;59;Directed;-86
57;5168;Directed;-68
57;54;Directed;-83
57;36360816693;Directed;-81
57;56;Directed;-79
57;50;Directed;-48
57;524;Directed;-75
57;518;Directed;-63
57;526;Directed;-77
57;527;Directed;None
57;5;Directed;-91
57;520;Directed;-72
57;513;Directed;-72
57;528;Directed;None
56;57;Directed;-85
56;50;Directed;-75
56;524;Directed;-62
56;527;Directed;None
56;513;Directed;-87
56;528;Directed;None
242288697347;104277312536;Directed;-62
242288697347;228506738965;Directed;-62
50;36360816693;Directed;-68
50;524;Directed;-72
50;525;Directed;-74
50;526;Directed;-80
50;527;Directed;None
50;520;Directed;-72
50;522;Directed;-78
50;523;Directed;-80
50;5;Directed;-76
50;528;Directed;None
50;5160;Directed;-70
50;5168;Directed;-78
50;59;Directed;-67
50;58;Directed;-57
50;55;Directed;-81
50;54;Directed;-59
50;57;Directed;-44
50;56;Directed;-67
50;519;Directed;-72
50;518;Directed;-76
50;510;Directed;-75
50;513;Directed;-55
50;512;Directed;-72
50;515;Directed;None
50;514;Directed;-79
53;524;Directed;-87
53;518;Directed;-79
53;523;Directed;-89
829;80;Directed;None
829;821;Directed;None
829;823;Directed;None
829;834;Directed;None
829;835;Directed;None
828;833;Directed;None
828;831;Directed;None
828;834;Directed;None
828;815;Directed;None
828;825;Directed;None
828;824;Directed;None
828;827;Directed;None
828;826;Directed;None
828;820;Directed;None
828;84;Directed;None
828;822;Directed;None
825;833;Directed;None
825;830;Directed;-87
825;831;Directed;None
825;80;Directed;None
825;835;Directed;None
825;815;Directed;-83
825;818;Directed;-75
825;813;Directed;None
825;828;Directed;None
825;827;Directed;None
825;826;Directed;-67
825;225877267718;Directed;-75
825;820;Directed;None
824;831;Directed;None
824;834;Directed;None
824;828;Directed;None
824;826;Directed;None
824;821;Directed;None
824;823;Directed;None
827;818;Directed;None
827;89;Directed;None
827;828;Directed;None
827;825;Directed;None
827;83;Directed;None
827;813;Directed;None
827;820;Directed;None
827;84;Directed;None
826;833;Directed;None
826;830;Directed;-89
826;831;Directed;None
826;834;Directed;None
826;835;Directed;None
826;829;Directed;None
826;828;Directed;None
826;825;Directed;-69
826;824;Directed;None
826;80;Directed;None
826;821;Directed;None
826;820;Directed;None
826;823;Directed;None
826;822;Directed;None
821;833;Directed;None
821;831;Directed;None
821;834;Directed;None
821;835;Directed;None
821;829;Directed;None
821;824;Directed;None
821;80;Directed;None
821;826;Directed;None
821;823;Directed;None
821;822;Directed;None
820;834;Directed;None
820;828;Directed;None
820;825;Directed;None
820;827;Directed;None
820;826;Directed;None
820;823;Directed;None
823;833;Directed;None
823;830;Directed;None
823;831;Directed;None
823;834;Directed;None
823;835;Directed;None
823;826;Directed;None
823;824;Directed;None
823;80;Directed;None
823;813;Directed;None
823;821;Directed;None
823;815;Directed;None
822;831;Directed;None
822;828;Directed;None
822;80;Directed;None
822;826;Directed;None
822;821;Directed;None
822;815;Directed;None
822;823;Directed;None
1129;1210;Directed;-76
1129;145;Directed;-75
1129;1216;Directed;-66
1129;1130;Directed;None
1129;144;Directed;None
1129;182;Directed;None
1129;183;Directed;None
1129;1105;Directed;-68
