Source;Target;Type;Weight
36360816693;59;Directed;-80
36360816693;58;Directed;-85
36360816693;5168;Directed;-89
36360816693;54;Directed;-84
36360816693;57;Directed;-80
36360816693;50;Directed;-65
36360816693;524;Directed;-83
36360816693;518;Directed;-87
36360816693;520;Directed;-82
36360816693;522;Directed;-88
36360816693;523;Directed;-88
36360816693;513;Directed;-75
36360816693;512;Directed;-78
133;132;Directed;None
133;130;Directed;None
133;179;Directed;None
133;134;Directed;None
132;1214;Directed;None
132;133;Directed;None
132;136;Directed;None
132;1117;Directed;None
132;134;Directed;None
132;139;Directed;None
130;133;Directed;None
130;178;Directed;None
130;179;Directed;None
130;1214;Directed;None
130;1134;Directed;None
136;1211;Directed;None
136;198;Directed;-67
136;1214;Directed;-62
136;1133;Directed;-76
136;192;Directed;-67
136;182;Directed;-80
136;132;Directed;None
136;180;Directed;-69
136;181;Directed;-79
136;1221;Directed;None
136;1117;Directed;-77
136;1108;Directed;None
134;144;Directed;None
134;145;Directed;None
134;1210;Directed;None
134;133;Directed;None
134;132;Directed;None
134;1105;Directed;None
139;151;Directed;-88
139;1214;Directed;-89
139;140;Directed;None
139;1133;Directed;-83
139;182;Directed;-85
139;132;Directed;None
139;180;Directed;-84
139;136;Directed;-84
139;1117;Directed;-90
139;1221;Directed;None
92;90;Directed;None
95;90;Directed;-79
95;93;Directed;-68
95;104459421554;Directed;-84
3;3201;Directed;None
3;3200;Directed;None
3;3;Directed;-56
3;3195;Directed;-73
3;3190;Directed;-73
3;3199;Directed;-88
818;832;Directed;-84
818;830;Directed;-87
818;86;Directed;-86
818;819;Directed;-71
818;88;Directed;-88
818;825;Directed;-70
818;225877267718;Directed;-83
818;817;Directed;-58
819;818;Directed;-76
819;225877267718;Directed;-49
819;817;Directed;-64
104459421554;2206;Directed;-80
104459421554;2207;Directed;None
104459421554;2209;Directed;-65
104459421554;9;Directed;-67
104459421554;2197;Directed;-78
104459421554;2165;Directed;-82
104459421554;2199;Directed;-78
104459421554;95;Directed;-78
104459421554;90;Directed;-77
810;813;Directed;None
810;814;Directed;None
811;812;Directed;None
811;89;Directed;None
812;811;Directed;None
812;89;Directed;None
813;832;Directed;None
813;810;Directed;None
813;89;Directed;None
813;825;Directed;None
813;827;Directed;None
813;81;Directed;None
813;814;Directed;None
813;87;Directed;None
813;823;Directed;None
814;810;Directed;None
814;813;Directed;None
814;81;Directed;None
815;830;Directed;-84
815;834;Directed;None
815;88;Directed;-78
815;825;Directed;-84
815;86;Directed;-86
815;823;Directed;None
815;822;Directed;None
817;818;Directed;-56
817;819;Directed;-62
817;225877267718;Directed;-53
719;77;Directed;-67
719;716;Directed;-87
719;713;Directed;-72
717;76;Directed;-73
716;77;Directed;-65
716;79831339542;Directed;-84
716;713;Directed;-77
716;719;Directed;-86
716;720;Directed;-79
715;714;Directed;None
715;73;Directed;-61
715;71;Directed;-55
715;74;Directed;None
715;721;Directed;-57
714;715;Directed;None
714;74;Directed;None
714;70;Directed;None
713;719;Directed;-68
713;716;Directed;-74
713;77;Directed;-60
713;724;Directed;-75
713;725;Directed;-68
713;79831339542;Directed;-81
712;76;Directed;-60
712;78;Directed;-50
712;723;Directed;-47
712;711;Directed;-52
712;72;Directed;-77
711;712;Directed;-63
711;76;Directed;-46
711;72;Directed;-80
711;70;Directed;None
711;78;Directed;-36
711;79;Directed;None
711;723;Directed;-55
90;9;Directed;-78
90;93;Directed;-78
90;92;Directed;None
90;95;Directed;-74
90;104459421554;Directed;-85
79831339542;716;Directed;-88
79831339542;713;Directed;-88
59;5160;Directed;0
59;58;Directed;-81
59;55;Directed;-85
59;54;Directed;-85
59;50;Directed;-76
59;519;Directed;-87
59;5168;Directed;-76
